"CASENO","SEVERITY","ACCDATE","ACCTIME","NOVEH","NOINJ","NOKILLED","INNEAR","COMMNAME","UGRID","USTREET1","USTREET2","UBLOCK","ROADAUTH","CTRLSECT","ATKM","RM","SIDEOF","QTR","SEC","TWP","RGE","MER","OTHERLOC","lookup_str","lat","lon"
1331949,"INJURY","2002-01-11",1205,2,1,0,"IN","REGINA","RE709320","TRUESDALE DR E","UNIV PK DR",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","TRUESDALE DR E and UNIV PK DR, REGINA, Saskatchewan",NA,NA
1349676,"INJURY","2002-01-24",1643,2,1,0,"IN","REGINA","RE689130","ALBERT ST","GORDON RD",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","ALBERT ST and GORDON RD, REGINA, Saskatchewan",NA,NA
1349612,"INJURY","2002-02-26",1204,2,1,0,"IN","REGINA","RE44200","BROADWAY AVE","900-999",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","949 BROADWAY AVE, REGINA, Saskatchewan",50.4376598,-104.5944883
1348567,"INJURY","2002-03-07",1801,2,1,0,"IN","REGINA","RE224300","LOCKWOOD RD","100-170",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","135 LOCKWOOD RD, REGINA, Saskatchewan",50.4037643,-104.6255307
1151903,"INJURY","2002-03-18",1750,2,1,0,"IN","REGINA","RE6500","ALBERT ST","751-899",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","825 ALBERT ST, REGINA, Saskatchewan",50.4651839,-104.617796
1345342,"INJURY","2002-04-18",1725,2,1,0,"IN","REGINA","RE708710","SALEMKA CR","SANGSTER BLVD W INT",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","SALEMKA CR and SANGSTER BLVD W INT, REGINA, Saskatchewan",NA,NA
1345204,"INJURY","2002-04-23",1237,2,1,0,"IN","REGINA","RE689010","ALBERT ST","SASKATCHEWAN DR",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","ALBERT ST and SASKATCHEWAN DR, REGINA, Saskatchewan",NA,NA
1349960,"INJURY","2002-04-23",1612,2,1,0,"IN","REGINA","RE40500","BROAD ST","500-655",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","577 BROAD ST, REGINA, Saskatchewan",NA,NA
1174396,"INJURY","2002-04-27",230,2,1,0,"IN","REGINA","RE704510","MACPHERSON AVE","MASSEY RD",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","MACPHERSON AVE and MASSEY RD, REGINA, Saskatchewan",50.4166065,-104.6083179
1345205,"INJURY","2002-05-01",1019,2,1,0,"IN","REGINA","RE689910","ARCOLA AVE E","PARK ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","ARCOLA AVE E and PARK ST, REGINA, Saskatchewan",50.4416564,-104.5722067
